,team_id,rating,wins,losses,last_match_time,name,tag,logo_url,WR
6613039,6613039.0,986.673,3.0,4.0,1552319550.0,Night Raid,Night Raid,https://steamusercontent-a.akamaihd.net/ugc/952976505233559764/75439F02B7406993F6F6182164059B751AFBB43E/,0.42857142857142855
6846179,6846179.0,955.5369999999999,1.0,4.0,1552320027.0,BURGUT,Burgut,https://steamusercontent-a.akamaihd.net/ugc/967616059742895895/CC554A4E01E045D9CB2A5FDCAB8774D3CBAFA5DC/,0.2
6713506,6713506.0,1103.44,14.0,17.0,1552335617.0,Kaban,Kaban,https://steamusercontent-a.akamaihd.net/ugc/947347005711278051/4CE40349B6BCD35264A7A0C87D7160AE2033A4FA/,0.4516129032258064
3260216,3260216.0,1124.8,41.0,37.0,1552384575.0,Team HighGround,HG,https://steamusercontent-a.akamaihd.net/ugc/860608186751615683/A98EFE34990C8B66694B0F23FC22E3A6E0F60A70/,0.5256410256410257
6848391,6848391.0,984.0,0.0,1.0,1552398461.0,WILD GAMING,WG,https://steamusercontent-a.akamaihd.net/ugc/996891040250043755/D770FA6E7FFEE5782568F1990BFB3FD18F1E2B2B/,0.0
6902791,6902791.0,1016.74,1.0,0.0,1552400669.0,LegendaryBTN,LGDN,,1.0
4647495,4647495.0,1001.82,3.0,3.0,1552406693.0,Saints,Saint,https://steamusercontent-a.akamaihd.net/ugc/948453728024435532/953C2EBDF04AED9BAF29557BF958A5B2D11DC98F/,0.5
5467843,5467843.0,1036.98,5.0,2.0,1552407417.0,Dead inside,,https://steamusercontent-a.akamaihd.net/ugc/952977212327679892/DB658867BCC4A3649184A280246B43367ABEC7F2/,0.7142857142857143
5197951,5197951.0,970.818,0.0,2.0,1552411314.0,4PAS,4PAS,https://steamusercontent-a.akamaihd.net/ugc/992386807850111003/9EE11B8CF8FCDB5C0E4A766490B3CF7BCA863B38/,0.0
6797114,6797114.0,975.302,1.0,3.0,1552435174.0,AUTOCHESS PLAYERS,AUT,https://steamusercontent-a.akamaihd.net/ugc/960859808806840811/BD3059604A581C3382ED4770953FEA252E403939/,0.25
6711309,6711309.0,956.485,13.0,18.0,1552445906.0,rei do picolé,picolé,https://steamusercontent-a.akamaihd.net/ugc/1002520175791002136/E5562AF49072F700DCFFDEF3135B86C2D2683F6D/,0.41935483870967744
6462126,6462126.0,952.6080000000001,15.0,29.0,1552492708.0,PAVAGA,PVG,https://steamusercontent-a.akamaihd.net/ugc/941712430421946796/5F78B4FF43C3AE381F6917915FB7E417D7E36079/,0.3409090909090909
6796440,6796440.0,1024.48,4.0,3.0,1552493486.0,,NO FEED,https://steamusercontent-a.akamaihd.net/ugc/940593610689393762/25D1E12EC67CB2195F0421D7D10CA40ECE0BC2AA/,0.5714285714285714
5946837,5946837.0,1114.32,8.0,0.0,1552493486.0,Galkynysh,GLKN,https://steamusercontent-a.akamaihd.net/ugc/787490852842464543/9A5B2C2DBEB68A819ADF4B7179795E8257866349/,1.0
6877171,6877171.0,1064.71,4.0,0.0,1552500433.0,NusaY,NusaY,https://steamusercontent-a.akamaihd.net/ugc/993513340529808176/05440134164B91A87C387F56F9D9D78B5844E5C7/,1.0
5868196,5868196.0,1050.72,6.0,2.0,1552500433.0,Blink Team,B.T,https://steamusercontent-a.akamaihd.net/ugc/946221606025895363/0ED4C187F78DC2D84446D318F556904AFBC74073/,0.75
6795191,6795191.0,1005.67,7.0,7.0,1552506678.0,Mestnoe OPG,OPG,https://steamusercontent-a.akamaihd.net/ugc/949600707463408761/B6EE340972CC8B1601821C713766C4E5ED953E36/,0.5
6795972,6795972.0,1044.7,6.0,3.0,1552506678.0,Spulae,Spulae,https://steamusercontent-a.akamaihd.net/ugc/1011526469359225656/71E298B3443E5B4E8CF2BB3C8196F6F4A35FC18B/,0.6666666666666666
6898546,6898546.0,1015.53,6.0,5.0,1552537257.0,Burning Bridges,BurnBri,https://steamusercontent-a.akamaihd.net/ugc/985631744646221680/4AAB49B6056A1FAD6EB7F81D862C2FAA76D63B09/,0.5454545454545454
6819218,6819218.0,1018.69,1.0,0.0,1552588094.0,NoWisp,NoWisp,https://steamusercontent-a.akamaihd.net/ugc/946223370044347994/716371EAF998343C67118DF1CFBF2132EBF95785/,1.0
6903404,6903404.0,983.0269999999999,0.0,1.0,1552709531.0,,ILMN,https://steamusercontent-a.akamaihd.net/ugc/992387440622334815/D7BB38AA5C0C2D8BEA56F97059BC716C357097CA/,0.0
6682790,6682790.0,957.497,0.0,3.0,1552723064.0,Illuminate Esports,ILMN,https://steamusercontent-a.akamaihd.net/ugc/947349010934911250/D7BB38AA5C0C2D8BEA56F97059BC716C357097CA/,0.0
6162501,6162501.0,930.89,2.0,9.0,1552727472.0,Hashtag?.DOTA,Hashtag?,https://steamusercontent-a.akamaihd.net/ugc/955228939257187769/54EAC099CFAE935A47A3735A4FAE69F68BC6537F/,0.18181818181818185
2355689,2355689.0,1102.28,8.0,1.0,1552736169.0,Malaya Dubna,,https://steamusercontent-a.akamaihd.net/ugc/934963531085170316/6EF74828CA32193FC85577A4A937AF2BBE236F08/,0.8888888888888888
6740500,6740500.0,1036.24,5.0,3.0,1552736169.0,ЛИРАХМ,lyrica,https://steamusercontent-a.akamaihd.net/ugc/992387515487006958/3264BF314B56DB456825FC6064EB4AA75D4EA2FF/,0.625
5907198,5907198.0,985.8489999999999,0.0,1.0,1552744474.0,NextLevelPlay,NLP,,0.0
6874748,6874748.0,1054.47,5.0,1.0,1552744474.0,Lanselon's Servants,LS,https://steamusercontent-a.akamaihd.net/ugc/990134624559949564/0CC7CD550B8ACA053AB18E8644CA392F2376631A/,0.8333333333333334
6854508,6854508.0,986.711,0.0,1.0,1552744746.0,DakonCs,,,0.0
6823155,6823155.0,1000.03,1.0,1.0,1552742469.0,boyci molodci,BM,,0.5
4986113,4986113.0,984.0,0.0,1.0,1552748138.0,Peyserler Forever Young,PFY,https://steamusercontent-a.akamaihd.net/ugc/966473786651620505/E1F8EE75785AEF6FCB42C6008D9A0203DA3AB84C/,0.0
5326142,5326142.0,1047.9,3.0,0.0,1552748643.0,frēman,frēman,https://steamusercontent-a.akamaihd.net/ugc/939437582932615184/C88B66FC315DF62FA6975701666AED7061F3159D/,1.0
6819809,6819809.0,988.488,10.0,10.0,,,Hmara,https://steamusercontent-a.akamaihd.net/ugc/796485929339263701/F891E18CBAB2955EEF2B3319E10C01DF9F289F75/,0.5
5248922,5248922.0,983.841,0.0,1.0,1552749202.0,SHIELD,SHIELD,https://steamusercontent-a.akamaihd.net/ugc/931553965090512316/D9BEF1B157B61518F4368E976DDB2891A303EBEA/,0.0
5226477,5226477.0,984.0,0.0,1.0,1552750800.0,Glorious Queens,GQueens,https://steamusercontent-a.akamaihd.net/ugc/921421499992646043/D08042B11D97785D203F2B2132E78FFC59A48CDE/,0.0
2869787,2869787.0,969.645,0.0,2.0,1552751085.0,NOTHING TO LOSE,NOT,https://steamusercontent-a.akamaihd.net/ugc/954095759595286031/01379436C8ECC7171EFCAA3AA8940E341BD5771A/,0.0
6854700,6854700.0,984.585,0.0,1.0,1552751551.0,Twenty Five Team,TFT,https://steamusercontent-a.akamaihd.net/ugc/1009274669545455514/ABE765BD0863308567197E1FC9793079171E7387/,0.0
5243996,5243996.0,983.966,0.0,1.0,1552751715.0,Erima Gaming,EGPE,https://steamusercontent-a.akamaihd.net/ugc/785234780859655998/C17E16CBBD7D3E613529FA00AC162A85AF2B8FFB/,0.0
6407411,6407411.0,984.7360000000001,0.0,1.0,1552751825.0,Fablers,FS,https://steamusercontent-a.akamaihd.net/ugc/974361625894957022/5616264EAF6AE7BED30479F656C3A03D4F67C12D/,0.0
5196240,5196240.0,984.0,0.0,1.0,1552752195.0,No Pain No Gain,NPNG,https://steamusercontent-a.akamaihd.net/ugc/947347993677678314/01F279B523C69FB3DC1B7D295D03D6EAEEB7ED84/,0.0
6465355,6465355.0,970.0210000000001,0.0,2.0,1552754908.0,Gang Smelly Wind,GSW,https://steamusercontent-a.akamaihd.net/ugc/924834998252483196/23E01A5A3473773FFA785A0EC54CB1B19A1460A4/,0.0
6544780,6544780.0,999.328,1.0,1.0,1552756205.0,NoEarthSpirit,NOES,https://steamusercontent-a.akamaihd.net/ugc/943964865021986903/6ACC7DF0BB94BD6CA01C6C7462FC0A34972593B6/,0.5
5225562,5225562.0,988.488,10.0,10.0,,Team Majestic,TMJ,https://steamusercontent-a.akamaihd.net/ugc/777361484388822397/F9BDB76289AB787D7FE3FE12A7E16FC5120125A3/,0.5
6492413,6492413.0,1014.53,2.0,1.0,1552756932.0,Bici Gaming,BiciG,https://steamusercontent-a.akamaihd.net/ugc/952971598489232835/DB98161D7E4942D4B1A6297ED44A28948787DEA5/,0.6666666666666666
707661,707661.0,1031.97,2.0,0.0,1552756205.0,Top per4iki,P4K,https://steamusercontent-a.akamaihd.net/ugc/924802734827449953/DE4AD5900E05661E7AB5765FD725D0DAEBBE9AC0/,1.0
6854690,6854690.0,1016.5,3.0,2.0,1552764287.0,Divide We Stand Together,DWS,https://steamusercontent-a.akamaihd.net/ugc/1004772639607799700/06DABB4C92CC18446998AD5F6E0B149C2FF77F4E/,0.6
5681712,5681712.0,1019.3,1.0,0.0,1552766096.0,The Fifth,Fifth,https://steamusercontent-a.akamaihd.net/ugc/930434406217816940/6806D82C76FCF9B622CCD06EC67DF2D5733B4ECD/,1.0
6740044,6740044.0,983.206,3.0,5.0,1552803759.0,No Idea,NID,https://steamusercontent-a.akamaihd.net/ugc/951853142694693582/202D3ECA7B6D5779D6E50F7B9FBC85BC2A229061/,0.375
6870398,6870398.0,956.68,0.0,3.0,1552824645.0,booF BAG,BG,https://steamusercontent-a.akamaihd.net/ugc/794260850335757288/F507C5DDC1FD3AE86F84E100D4ADEB6CDE3B9572/,0.0
5237828,5237828.0,983.2639999999999,0.0,1.0,1552824830.0,CancriTeam,CT,https://steamusercontent-a.akamaihd.net/ugc/923672119281452059/90130A7034EFDB0988E938AEC4C7FEA2F62B7429/,0.0
6684035,6684035.0,998.561,1.0,1.0,1552825268.0,History of Chaos,HoS,https://steamusercontent-a.akamaihd.net/ugc/946220471515287388/FC6CCC135D99F07FE2B9C10201F2E4F20AD01269/,0.5
5257880,5257880.0,984.7360000000001,1.0,2.0,1552827208.0,ANIME GANG,AG,https://steamusercontent-a.akamaihd.net/ugc/990134624558553039/858EFDAE73628348F8D63AB910FC81662DC6172B/,0.3333333333333333
1396186,1396186.0,998.043,1.0,1.0,1552829099.0,Undefeated By Anyone,UnByOne,https://steamusercontent-a.akamaihd.net/ugc/441701256330497865/550B43EA964EA9D80FD04C422480F24D64C4DEE0/,0.5
3928779,3928779.0,1023.3,5.0,3.0,1552829648.0,Чай впятером,FUNBO_RU2,https://steamusercontent-a.akamaihd.net/ugc/853855540014655951/24C8BB6E38F038F75EF2F50484F90B7C5F00C776/,0.625
6473646,6473646.0,1001.44,1.0,1.0,1552832023.0,MoonRock,MR,https://steamusercontent-a.akamaihd.net/ugc/952979309893514643/3E2F862BB78411D6E96141050998ACEDC6986D02/,0.5
6796857,6796857.0,1077.64,5.0,0.0,1552839629.0,Blacer Flex,BlacerFlex,https://steamusercontent-a.akamaihd.net/ugc/955230308956478421/9472AEAC243B0A777EA4A170750516ACF86828E5/,1.0
6902860,6902860.0,983.2139999999999,0.0,1.0,1552842029.0,ANGEL,AngeL,,0.0
6464494,6464494.0,999.704,2.0,2.0,1552842029.0,JAMET GAMING,,https://steamusercontent-a.akamaihd.net/ugc/952970256805230474/713B6A9F56430EC31A6EC8F380BB6E2B6B5050A4/,0.5
3744163,3744163.0,940.471,8.0,14.0,1552854681.0,Topf voll Ott,TvOtt,https://steamusercontent-a.akamaihd.net/ugc/167031573966343880/1B512F43A8395E011BB294409CF3570938624067/,0.3636363636363637
6903127,6903127.0,1016.0,1.0,0.0,1552914507.0,BBC,BBC_Esport,https://steamusercontent-a.akamaihd.net/ugc/1001394639877102329/C843641E388DB3FAF4FAECD0DF121AD9F33AB9F5/,1.0
6144254,6144254.0,984.0,0.0,1.0,1552917915.0,CELEK ESPORT,1KDOG,https://steamusercontent-a.akamaihd.net/ugc/1001394923952722459/749771A6334901E14FA2F28D3972D4491FFC95DB/,0.0
