,team_id,name,rating,wins,losses,last_match_time,tag,name2
6306453,6306453,WarriorsGaming.Unity,1152.58,38,39,1554546750,WG.Unity,_
3785359,3785359,BOOM ID,1152.17,159,134,1581669735,BOOM,_
67,67,paiN Gaming,1151.32,307,279,1582505594,paiN,_
7586931,7586931,Avengers,1151.11,14,3,1580630315,A,_
2787008,2787008,Corgi in a Team,1149.82,12,1,1467550373,Ciat,_
3706823,3706823,G4,1149.63,29,10,1500983020,G4,_
1556150,1556150,SPNV Inspire return,1149.34,10,0,1404048629,SPNV,_
5040783,5040783,Immortals,1148.99,15,11,1506543545,IMT,_
1236083,1236083,FelMysT,1148.26,23,8,1474906257,_,_
6876721,6876721,Hans Pro Gaming,1147.55,19,9,1573978199,HPG,_
1371515,1371515,Aware.Gaming,1147.43,38,35,1401912809,Aware,_
7391166,7391166,Fighting Pepegas,1145.45,17,6,1571751459,FP,_
1513164,1513164,aSpera ESports,1145.18,68,62,1441036430,aSpera,_
2384932,2384932,Team OvP.,1144.84,11,1,1449360917,TOvP,_
3333433,3333433,_,1144.45,48,37,1486004907,_,_
1642908,1642908,Natus Vincere US,1143.0,73,56,1441220704,Na`Vi US,_
534136,534136,New Guys,1142.99,11,4,1531254227,NG,_
1846548,1846548,HellRaisers,1142.55,160,190,1511815094,HR,_
2101368,2101368,LaDottA's Stacks,1142.27,22,15,1425118842,LaD,_
66855,66855,_,1141.69,11,1,1403453582,_,_
2224197,2224197,G Guard Esports,1141.25,17,12,1432974286,G Guard,_
1366458,1366458,R a v e,1141.17,129,92,1471359842,Rave,_
55,55,_PowerRangers,1140.79,443,469,1478884383,PR,_
6615678,6615678,Room310,1139.05,36,21,1552056602,_,_
5194336,5194336,DeathBringer Gaming,1138.88,43,33,1547793807,DBG,_
485526,485526,Life.,1138.83,24,23,1481920155,Life,_
2390951,2390951,Kanaya,1138.54,10,1,1453806711,Kanaya,_
7009107,7009107,ReRise,1138.03,29,16,1584456878,RR,_
2395241,2395241,Artyk Dota,1137.93,12,2,1445209458,Artyk,_
3349045,3349045,Σ(っ°Д°;)っ,1137.7,84,107,1523426456,Σ(っ°Д°;)っ,_
3851150,3851150,NoLogic Gaming,1137.66,16,13,1490814093,NLG,_
2,2,Zenith,1137.53,53,45,1491924628,Zenith,_
5084724,5084724,Newbee.M,1136.89,22,17,1517315524,Newbee.M,_
2349091,2349091,TODOPORELPOD,1136.68,11,1,1437967550,TXP,_
6908054,6908054,MT Gaming,1136.56,11,1,1558886288,MT,_
6925812,6925812,EStolis Team,1136.45,15,4,1556460340,EST,_
6269097,6269097,TAYO LOVERS,1136.12,54,22,1576659422,_,_
53,53,Potm Bottom,1135.93,19,9,1348437682,PB,_
7641673,7641673,Aggressive Mode.,1134.57,13,7,1585847427,A-Mode,_
3018001,3018001,     ,1134.47,21,16,1495876542,_,_
5270154,5270154,Team Russia,1133.86,15,9,1552216190,_,_
5011202,5011202,Coloss,1133.78,26,20,1508698863,Coloss,_
3327985,3327985,RaveDota,1133.42,27,22,1480226376,Rave,_
1679554,1679554,Imba Gaming Vietnam,1133.33,25,11,1416839892,IMBA,_
6265062,6265062,Se7en Esports,1133.22,26,14,1563557363,S7E,_
4147900,4147900,15 añitoz,1132.93,9,0,1491793070,15añitoz,_
2197847,2197847,Burden United,1132.14,69,59,1533485155,BU,_
42,42,Orange E-Sports,1131.78,19,15,1352295941,Orange,_
6355223,6355223,MalaWarrior,1131.65,14,2,1546174383,Mala,_
464103,464103,Danish Bears,1131.39,26,23,1499097320,DB,_
3747558,3747558,NoTricks,1131.0,21,8,1494694044,NT,_
7156567,7156567,Sacred Monarch Cult,1130.9,12,2,1566717510,SS,_
6926667,6926667,Room310,1129.64,11,4,1554695944,_,_
3262512,3262512,The Prime NND,1129.61,43,36,1524640166,TP.NND,_
7574786,7574786,infinite tsukuyomi,1128.94,14,3,1580664073,ITS,_
7119284,7119284,Power of MYSG+AU,1128.64,15,16,1559284181,MYSGAU,_
6406681,6406681,Imperial Pro Gaming,1128.5,20,13,1576260275,IPG,_
6711290,6711290,Team Singularity,1128.48,111,105,1584190249,SNG,_
7483893,7483893,Fighting PandaS,1128.44,30,37,1583416874,FP,_
3931120,3931120,_,1127.85,21,20,1499947099,_,_
6822187,6822187,SS DARVIN LOPERS,1127.37,9,0,1554472181,DL,_
7300685,7300685,Team Drinking,1127.33,13,7,1565684465,TD,_
6187657,6187657,Neon Esports,1127.21,317,232,1586421438,neon,_
6644139,6644139,Willow.Gaming,1127.17,8,0,1572806214,WG,_
4958284,4958284,Greedy Goblins,1126.73,11,1,1511086035,GG,_
6382770,6382770,Nikcastrum,1126.72,11,2,1540740547,NC,_
2850822,2850822,King Arthur & 4 Knights,1125.77,11,2,1472054836,KaK,_
6953026,6953026,Butterfly Effec,1125.27,8,2,1553965740,bfLy,_
7819701,7819701,VP.Prodigy,1124.91,6,0,1586094724,VP.P,_
3260216,3260216,Team HighGround,1124.8,41,37,1552384575,HG,_
484909,484909,Hyper Glory Team,1124.5,151,202,1442574487,HGT,_
7059982,7059982,Team Sirius,1124.39,52,56,1586419012,Sirius,_
7443956,7443956,Black Knight,1124.37,53,41,1585039359,_,_
883783,883783,Stay - Free,1123.81,24,12,1435045742,sF,_
7137328,7137328,Team Anvorgesa,1123.68,14,13,1560622893,anvorgza,_
7472412,7472412,Park Bo Cuan,1123.41,8,0,1571568062,PBC,_
3725701,3725701,Happy  Feet,1123.25,117,93,1521194947,HF,_
5231224,5231224,Rex Regum Qeon,1122.61,33,25,1548488437,RR.QEON,_
1616631,1616631,Flip.Sid3 Tactics NA,1122.23,19,8,1410837214,F3.NA,_
1288401,1288401,R A V E N,1122.11,14,4,1429454049,Raven,_
1736743,1736743,Elysium!,1122.08,16,5,1426449360,Elysium,_
2833354,2833354,Vici Gaming Potential,1121.96,97,96,1565257883,VG.P,_
2257957,2257957,LINCENCIADOS,1121.5,10,1,1431805875,LINCES,_
2799801,2799801,KanayaGaming,1121.13,15,6,1485868170,KG,_
7391558,7391558,BOSS ANDRE,1121.07,9,1,1568542409,BA,_
1648005,1648005,Inter Active Philippines,1120.76,29,23,1414673863,IAP,_
2136210,2136210,Leetss Do It,1119.71,10,2,1503253920,asd,_
6658560,6658560,Guardian Gaming,1119.57,20,7,1553446374,GG,_
7555613,7555613,OG.Seed,1119.47,44,44,1586199267,OG.S,_
688388,688388,ThePrimeSIAPA?!,1119.08,8,0,1403713838,TPSIAPA?,_
2751690,2751690,_,1118.99,8,0,1475162515,_,_
7669103,7669103,Cyber Legacy,1117.98,38,50,1586347595,CL,_
161707,161707,mouz,1117.65,27,22,1360615807,mouz,_
7218194,7218194,FrozenDawn Club,1117.59,39,25,1565684465,FD,_
1929695,1929695,KappaGam!ng,1117.45,13,6,1425737395,Kappa,_
6904952,6904952,Dark Sided,1117.4,45,40,1581070131,DS,_
7498762,7498762,Team Oracle.YOUTH,1116.96,22,12,1585919842,OCY,_
2275267,2275267,TELL WHY_ANIME?,1116.3,12,3,1434122054,TWA,_
7454504,7454504,Demon Esport,1116.02,22,9,1577032634,DME,_
1718551,1718551,ROOT-gaming.com,1115.78,101,101,1446936820,_,_
7528264,7528264,bmstu,1114.82,10,2,1574598932,bmstu,_
805172,805172,Avant Garde Gaming,1114.56,23,10,1408887166,Avant,_
5946837,5946837,Galkynysh,1114.32,8,0,1552493486,GLKN,_
6951684,6951684,M11 SLAYERS,1114.05,20,9,1567869764,M11SLAYERS,_
1884355,1884355,Void Boys,1113.94,19,17,1469490811,VB,_
2019384,2019384,[Flip.Sid3 Tactics],1113.47,25,20,1430333658,[F.3],_
6685947,6685947,AQuaMan,1112.65,8,1,1547989253,AQM,_
733290,733290,DoTa GoD SLaYeRs,1111.97,9,1,1428866445,[DGS],_
5219214,5219214,BG,1111.87,6,1,1517901174,_,_
5896332,5896332,Sterling Global Dragons,1111.44,39,38,1549286375,SGD,_
6212920,6212920,Winstrike Team,1111.21,29,31,1555868713,Winstrike,_
6685839,6685839,FANTASTIC 5,1111.04,12,3,1553265481,F5,_
2413439,2413439,Team SatuDuaTiga,1110.44,21,20,1449753816,123,_
2676492,2676492,Virus Nirvana,1109.9,8,0,1570903749,VirusN,_
1148284,1148284,MVP Phoenix,1109.51,336,291,1481161727,MVP,_
6411545,6411545,Team DOGE,1109.5,11,2,1546174383,DOGE,_
4542817,4542817,Washed Up,1109.4,10,1,1502360176,WashedUp,_
7153614,7153614,top1sng,1109.31,20,10,1584291662,top1sng,_
4763533,4763533,_,1109.24,9,2,1500212595,_,_
2276247,2276247,Mamas-Boys,1109.13,81,68,1454349899,MB,_
4009019,4009019,Fox Gaming Youth,1109.12,15,5,1511345613,FoxY,_
5269247,5269247,Team Hellas,1108.88,8,0,1521109675,HELLAS,_
5207190,5207190,Admiral Dota,1108.31,67,63,1564826916,Admiral,_
5992206,5992206,KSY,1107.85,15,13,1544867681,KSY,_
433549,433549,TheRerereTRY,1107.8,55,61,1398090034,TR,_
5242529,5242529,Unchained Esports,1107.72,57,38,1555681006,UNC,_
1994818,1994818,We Got Late Game,1107.68,17,7,1437348865,LATEGAME,_
1464407,1464407,Immunity Dota,1106.96,65,42,1414934378,iM,_
7542148,7542148, EXTREMUM,1106.88,52,38,1585156011,EXTREMUM,_
4010559,4010559,Team Quetzal,1106.48,15,7,1499392201,QzL,_
7284811,7284811,No Fucking Name,1106.31,18,9,1570203571,NFN,_
1949879,1949879,Proxima E-Sports,1106.29,11,4,1541924480,Proxima,_
367492,367492,Revenge-,1106.2,75,85,1421373863,RvG,_
3968479,3968479,PODKONÍ A KRÁVA,1106.2,14,7,1525111754,PaK,_
1589592,1589592,Balkan Bears Corleone,1105.85,91,75,1431189278,BBC,_
7599541,7599541,Holy Masters,1105.73,9,1,1579439492,HM,_
5028104,5028104,VGJ Storm,1105.7,43,51,1516842117,VGJ,_
7554277,7554277,jakiro,1105.69,10,3,1575266777,_,_
672504,672504,Hurricane Festival,1105.62,12,3,1505762341,HF,_
992400,992400,Team Underminer,1105.58,43,27,1437577766,UDMN,_
6492310,6492310,KAMI TAMPAN SEKALI,1105.56,7,1,1543145144,KATSE,_
1325243,1325243,Team Phoenix Rising,1105.0,9,1,1425838585,PHX,_
5148271,5148271,Minas Club,1104.94,7,0,1571522944,Minas,_
4253054,4253054,Team Random,1104.86,5,9,1493389550,Random,_
6761014,6761014,Aging Rapu,1104.8,10,1,1555327729,AR,_
7101255,7101255,Revenge Gaming,1104.24,60,58,1573275054,_,_
1115421,1115421,BBUBU+4,1103.83,29,20,1449317494,Pensiunn,_
7484403,7484403,Ocean,1103.67,37,45,1586335840,Ocean,_
5076975,5076975,New Beginning,1103.63,11,10,1511445936,NB,_
992217,992217,Gofigure,1103.47,23,13,1502720220,GF,_
6713506,6713506,Kaban,1103.44,14,17,1552335617,Kaban,_
7356597,7356597,Team Cosy,1103.23,39,24,1581485553,TC,_
1064548,1064548,Celestial eSports,1103.0,7,0,1385289310,ceL',_
7404529,7404529,Reality Rift,1102.71,40,46,1586425204,RR ,_
4259604,4259604,Veteran,1102.34,21,12,1549965951,Veteran,_
6951036,6951036,Cignal Ultra Warriors,1102.31,26,15,1559473033,Cignal,_
2355689,2355689,Malaya Dubna,1102.28,8,1,1552736169,_,_
7170428,7170428,MarciusTeam,1102.28,9,1,1561300364,MT,_
4592777,4592777,Double Dimension,1101.82,51,60,1513965170,DD,_
5197722,5197722,Effect,1101.77,25,28,1532960651,Effect,_
2099608,2099608,Luminous.Dota 2,1100.84,9,1,1433671968,LUMI,_
2686375,2686375,@__@,1100.8,6,2,1515878528,@__@,_
3718685,3718685,MVP.Revolution,1100.67,22,19,1499626798,MVP.R,_
6435075,6435075,NoLifer5,1100.66,15,6,1573905667,NL5,_
1521260,1521260,ColourfulRainbows,1100.58,10,3,1467267727,colR,_
7655250,7655250,Arassa Deniz,1100.27,9,2,1581439384,AD,_
6849739,6849739,Ωmega Gaming,1100.25,16,13,1581375084,Ωmega,_
2640025,2640025,iG.Vitality,1100.23,502,461,1586413676,iG.V,_
2701329,2701329,Team Freedom Dota 2,1100.08,89,94,1569092702,Freedom,_
7079109,7079109,beastcoast,1100.07,22,33,1569017881,bc,_
4287101,4287101,TEAM EVER,1099.89,11,11,1517808995,EVER,_
7408845,7408845,Execration,1099.6,18,13,1586332979,XctN,_
6767698,6767698,You Rock,1099.53,11,3,1553350609,YouRock,_
7282863,7282863,Team Sincere,1099.52,6,0,1564297468,_,_
2679744,2679744,Intelligence Quotient xD,1099.4,27,19,1512672285,IQ,_
6350308,6350308,"Team ""ENEMY""",1099.33,32,12,1574276531,ENEMY,_
1175580,1175580,sQreen's squad v2.0,1099.02,63,37,1441036430,ss,_
5039050,5039050,Team Kinguin,1098.98,102,97,1529866667,KGN,_
7485273,7485273,Team Strawberry,1098.76,26,29,1583133694,TS,_
6849080,6849080,Optimus Amicus,1097.93,10,3,1558108218,OA,_
5028043,5028043,Sacred,1097.84,51,45,1572746925,//////////,_
6211921,6211921,4ayniy Zavar,1097.79,9,2,1571577277,4Z,_
6594251,6594251,TEAM UKRAINE,1097.79,10,6,1552216190,UKRAINA,_
2127330,2127330,xant!c,1097.75,10,8,1432499651,xantic,_
5066616,5066616,Team Serenity,1097.59,116,114,1583039606,Serenity,_
5682494,5682494,Club Deportivo Municipal eSports,1097.17,7,1,1527299615,CDM,_
7566229,7566229,Apollo,1097.15,14,9,1576334411,_,_
6380237,6380237,BlackHole,1097.09,11,4,1547914640,Bhole,_
2308619,2308619,Note,1096.63,10,2,1447656281,Note,_
1592768,1592768,AG-NoLimitz,1096.55,9,2,1404036399,AG-NL,_
7019918,7019918,drop,1096.4,10,3,1572082653,drop,_
6763958,6763958,Team Odd,1096.24,6,0,1550027370,Odd,_
2191966,2191966,Super Trash Brothers,1096.17,11,5,1437957405,trashBRO,_
6711721,6711721,Old but Gold,1096.17,52,55,1570711143,gOLD,_
5528506,5528506,slojniy memas,1096.09,16,7,1532627358,slojniymem,_
6568394,6568394,Tentakel-Esport,1095.73,9,2,1544962568,Tentakel,_
7806386,7806386,Quincy Crew,1095.56,6,5,1585867837,_,_
977635,977635,TMNTDOTA2,1095.53,10,4,1390053065,TMNT,_
7409177,7409177,J.Storm,1095.39,31,39,1576654771,J.Storm,_
5766651,5766651,Lithium,1095.01,13,6,1576688213,_,_
